total_purchase_count,average_order_value,days_since_first_purchase,days_since_last_purchase,product_category_diversity,loyalty_program_membership,estimated_lifetime_value
2.31,88.52,126.28,35.07,0.343,Enrolled,643.19
17.42,76.5,168.74,17.38,0.387,Not Enrolled,791.46
17.36,61.19,1090.27,117.49,0.397,Enrolled,918.7
5.06,125.92,386.01,130.64,0.33,Not Enrolled,416.13
17.43,45.65,123.0,4.55,0.441,Not Enrolled,866.25
13.32,118.87,431.58,89.82,0.61,Not Enrolled,590.13
1.36,40.22,152.69,78.25,0.212,Not Enrolled,215.24
1.62,75.21,217.14,213.75,0.268,Not Enrolled,142.09
3.9,94.52,390.67,81.59,0.498,Not Enrolled,604.44
0.947,65.51,127.4,75.91,0.295,Enrolled,328.36
2.87,77.21,266.23,80.16,0.273,Not Enrolled,359.66
2.0,30.36,260.15,204.8,0.212,Enrolled,118.72
0.668,26.15,65.49,52.91,0.238,Enrolled,160.5
4.1,45.03,609.96,70.98,0.143,Not Enrolled,563.93
1.99,31.59,377.86,166.81,0.152,Enrolled,181.08
9.59,99.12,184.97,4.83,0.55,Not Enrolled,1933.17
9.22,49.35,322.41,39.56,0.215,Enrolled,619.64
8.23,41.59,699.02,151.87,0.118,Not Enrolled,304.17
0.881,69.35,297.66,148.83,0.0785,Enrolled,264.88
5.43,48.04,287.95,77.04,0.0811,Not Enrolled,304.64
1.25,196.08,255.96,95.64,0.335,Enrolled,725.01
3.28,32.09,235.09,56.1,0.0635,Not Enrolled,281.78
2.2,56.61,346.38,134.87,0.472,Not Enrolled,273.25
11.05,51.89,372.48,84.06,0.174,Not Enrolled,345.14
0.989,144.77,46.02,5.17,0.0931,Enrolled,1378.59
3.53,52.16,135.11,50.46,0.175,Enrolled,334.28
1.6,75.3,107.82,27.58,0.315,Not Enrolled,528.73
7.06,51.3,390.71,123.49,0.318,Enrolled,303.4
5.94,80.53,494.44,105.33,0.167,Not Enrolled,488.31
0.537,45.77,117.54,103.65,0.00634,Not Enrolled,159.05
3.83,213.21,82.94,7.34,0.258,Not Enrolled,1518.04
2.25,114.13,246.68,67.82,0.197,Not Enrolled,534.04
9.07,40.56,846.54,94.25,0.0984,Enrolled,670.56
1.74,33.83,45.24,36.57,0.169,Enrolled,207.88
4.85,73.55,272.73,25.25,0.265,Not Enrolled,895.39
7.03,80.86,304.73,87.05,0.289,Enrolled,432.72
3.53,66.39,257.09,157.04,0.508,Enrolled,221.34
1.84,81.87,585.71,326.1,0.255,Enrolled,199.17
3.34,159.69,452.78,175.91,0.503,Enrolled,457.84
13.64,78.73,259.82,12.14,0.405,Not Enrolled,1371.82
9.18,53.44,121.67,5.43,0.181,Not Enrolled,974.55
1.19,29.46,85.77,65.5,0.114,Not Enrolled,132.0
8.44,293.47,597.13,121.42,0.734,Not Enrolled,1088.29
2.09,41.37,166.25,71.65,0.366,Enrolled,299.62
1.79,55.96,293.37,146.38,0.302,Enrolled,237.24
11.62,325.68,318.68,11.55,0.373,Not Enrolled,3264.51
14.92,144.15,894.27,124.15,0.457,Not Enrolled,915.66
5.21,65.99,185.76,58.75,0.198,Enrolled,428.36
8.37,59.6,288.93,22.7,0.313,Not Enrolled,846.83
17.52,130.32,262.06,17.64,0.42,Enrolled,1615.38
4.04,39.85,32.92,6.4,0.181,Enrolled,469.21
4.67,42.37,109.82,5.2,0.161,Not Enrolled,759.63
1.39,114.62,408.05,154.53,0.206,Not Enrolled,352.72
9.2,62.29,429.95,136.02,0.532,Not Enrolled,313.56
5.61,263.27,267.12,56.69,0.364,Enrolled,1128.6
3.98,282.83,314.64,43.66,0.174,Enrolled,1625.06
3.75,26.77,373.58,94.54,0.111,Enrolled,252.57
152.72,440.15,831.0,11.53,0.506,Not Enrolled,6991.64
10.59,89.73,762.06,116.82,0.452,Not Enrolled,726.66
10.32,52.33,385.71,34.92,0.515,Not Enrolled,774.68
4.87,143.04,107.08,18.35,0.357,Not Enrolled,911.89
8.53,60.03,323.96,38.85,0.15,Not Enrolled,625.59
18.33,75.04,531.51,91.22,0.345,Not Enrolled,490.73
1.19,63.85,235.15,101.92,0.0394,Not Enrolled,271.68
2.03,121.05,88.19,42.99,0.271,Enrolled,484.7
0.167,68.69,356.9,562.93,0.0712,Enrolled,72.35
3.87,104.48,295.02,87.96,0.166,Enrolled,501.23
23.75,69.91,468.86,17.73,0.527,Not Enrolled,1418.51
1.49,183.91,172.81,111.33,0.0873,Enrolled,399.51
3.64,61.22,338.13,64.22,0.242,Not Enrolled,517.96
1.85,74.03,25.83,8.58,0.615,Enrolled,634.52
8.43,108.04,198.8,13.62,0.319,Not Enrolled,1229.3
13.96,31.44,612.81,51.46,0.693,Enrolled,785.54
13.09,41.88,301.28,37.0,0.0621,Enrolled,526.93
22.39,59.56,504.37,36.0,0.304,Not Enrolled,921.04
2.57,44.95,296.01,40.11,0.0704,Not Enrolled,546.32
4.28,129.59,370.4,98.14,0.45,Not Enrolled,516.54
2.94,36.5,261.44,126.27,0.112,Enrolled,186.4
2.42,78.63,140.63,49.65,0.225,Enrolled,458.7
13.46,34.73,234.2,18.24,0.102,Enrolled,688.25
5.24,97.48,311.11,20.47,0.139,Not Enrolled,1248.96
8.68,66.38,497.57,49.33,0.134,Not Enrolled,812.02
15.83,38.07,826.24,112.25,0.423,Not Enrolled,415.94
18.62,847.11,575.17,20.65,0.391,Not Enrolled,5410.06
1.4,108.69,127.59,112.38,0.217,Not Enrolled,246.17
10.33,185.89,556.35,32.34,0.501,Not Enrolled,2027.7
4.35,153.59,8.13,1.04,0.133,Not Enrolled,2642.16
7.98,30.34,162.44,27.4,0.192,Enrolled,390.07
3.61,45.91,196.99,38.92,0.158,Not Enrolled,396.66
4.71,51.72,138.61,9.19,0.125,Not Enrolled,875.27
7.53,37.32,364.75,34.97,0.44,Not Enrolled,542.1
3.07,36.75,112.12,17.16,0.298,Enrolled,476.1
19.04,84.31,140.79,5.74,0.46,Enrolled,1675.06
1.04,72.14,173.88,104.98,0.264,Not Enrolled,256.5
3.66,58.04,38.78,2.95,0.429,Not Enrolled,957.79
1.89,45.21,60.73,32.99,0.0659,Not Enrolled,258.24
1.93,168.25,375.88,133.68,0.195,Not Enrolled,532.18
2.9,31.8,616.14,227.37,0.312,Not Enrolled,168.96
37.04,45.25,214.58,3.97,0.394,Not Enrolled,1389.25
1.13,51.8,45.28,20.32,0.0282,Not Enrolled,326.64
15.74,108.67,217.9,8.48,0.247,Not Enrolled,1411.8
4.65,118.33,860.66,198.25,0.411,Enrolled,661.25
4.13,64.79,264.25,71.41,0.193,Enrolled,438.04
0.512,72.93,225.84,196.37,0.0505,Enrolled,179.33
5.41,56.68,943.47,313.7,0.255,Enrolled,235.45
10.45,173.95,814.1,70.65,0.492,Not Enrolled,1623.04
3.99,38.16,538.17,112.53,0.297,Enrolled,378.67
1.23,91.49,45.85,6.16,0.201,Enrolled,965.92
3.3,60.83,708.54,291.74,0.334,Enrolled,217.51
1.48,37.58,331.85,323.7,0.0994,Enrolled,90.25
0.629,44.93,60.33,85.01,0.268,Enrolled,155.62
60.28,495.52,340.34,1.11,0.549,Not Enrolled,19075.32
0.611,45.02,43.17,28.18,0.108,Enrolled,287.53
3.33,72.86,371.19,124.37,0.0804,Enrolled,387.36
12.35,86.65,991.75,133.21,0.451,Not Enrolled,701.48
3.37,70.86,292.81,63.05,0.352,Enrolled,581.38
25.59,26.57,302.08,9.36,0.431,Not Enrolled,812.92
1.81,35.09,161.15,118.79,0.103,Enrolled,148.53
5.83,205.65,277.1,13.19,0.334,Not Enrolled,2151.01
2.44,83.53,169.73,96.74,0.455,Not Enrolled,285.89
34.59,211.28,175.85,1.08,0.528,Not Enrolled,9356.83
6.54,70.73,583.11,117.49,0.42,Enrolled,522.01
2.84,208.51,639.19,269.85,0.251,Enrolled,444.75
2.8,40.56,788.73,220.53,0.183,Not Enrolled,215.56
29.21,74.81,447.93,25.02,0.322,Not Enrolled,1039.46
10.7,58.36,183.17,13.18,0.231,Enrolled,896.5
6.1,31.58,330.7,86.92,0.0324,Not Enrolled,239.29
2.95,43.57,55.82,10.24,0.0613,Enrolled,470.48
3.39,32.16,699.52,352.07,0.164,Enrolled,117.75
0.528,166.2,10.01,9.49,0.0318,Enrolled,601.93
4.34,41.12,689.44,177.68,0.13,Enrolled,298.06
26.22,39.56,400.54,12.96,0.212,Not Enrolled,930.61
2.12,27.81,541.73,238.17,0.115,Enrolled,146.4
29.04,152.18,149.61,2.59,0.592,Not Enrolled,3211.96
3.32,38.47,90.9,28.63,0.403,Enrolled,335.98
1.43,32.86,624.62,331.12,0.314,Not Enrolled,117.79
4.47,74.54,819.2,242.75,0.245,Not Enrolled,294.61
8.66,86.37,511.65,149.86,0.0393,Enrolled,392.29
5.67,137.67,511.57,208.62,0.407,Not Enrolled,361.43
5.95,46.68,545.76,155.9,0.0591,Not Enrolled,263.69
5.67,68.21,555.13,96.07,0.14,Not Enrolled,553.35
0.522,58.46,215.76,310.49,0.122,Enrolled,93.82
11.48,202.39,482.18,41.48,0.609,Not Enrolled,1852.36
3.24,82.67,97.77,7.15,0.317,Not Enrolled,1044.19
2.13,23.83,190.38,92.01,0.138,Enrolled,151.29
4.24,65.55,57.64,7.34,0.211,Not Enrolled,625.25
2.61,56.4,27.33,16.03,0.155,Enrolled,333.28
5.57,82.99,949.42,235.25,0.279,Enrolled,433.73
17.39,185.16,636.15,90.04,0.413,Enrolled,1216.13
1.72,70.3,133.15,39.57,0.291,Not Enrolled,408.22
14.43,124.88,119.51,4.76,0.195,Not Enrolled,1711.9
4.48,82.7,443.3,81.68,0.46,Enrolled,718.39
6.49,103.97,263.65,89.52,0.135,Enrolled,428.83
4.12,37.31,143.93,31.9,0.132,Enrolled,364.94
30.73,108.73,532.58,14.12,0.268,Not Enrolled,2601.68
2.32,57.47,56.4,15.86,0.164,Not Enrolled,417.49
13.01,264.08,328.4,9.81,0.537,Not Enrolled,2751.51
1.49,34.74,137.31,89.71,0.189,Enrolled,175.93
12.52,60.54,656.77,111.89,0.354,Not Enrolled,491.15
2.67,70.41,225.82,106.59,0.0731,Not Enrolled,271.63
5.1,74.71,366.46,30.1,0.127,Not Enrolled,942.95
3.12,89.73,191.99,9.44,0.151,Not Enrolled,1231.97
2.47,36.81,117.83,40.48,0.106,Enrolled,294.39
4.19,23.14,263.16,127.42,0.0189,Enrolled,128.23
10.19,37.85,289.28,96.01,0.299,Not Enrolled,225.36
15.04,84.51,484.77,38.24,0.254,Not Enrolled,1017.11
10.25,81.25,436.36,40.0,0.438,Not Enrolled,1018.75
1.75,69.69,365.99,133.39,0.0557,Enrolled,373.85
5.23,28.56,512.75,197.51,0.135,Not Enrolled,145.77
11.26,31.17,1088.94,183.33,0.311,Enrolled,377.78
0.543,74.43,95.34,154.18,0.145,Enrolled,157.05
2.47,66.12,267.44,111.76,0.184,Enrolled,316.65
12.02,102.5,327.71,15.98,0.353,Not Enrolled,1536.1
0.42,52.94,96.88,209.04,0.0838,Enrolled,100.97
12.2,49.78,168.83,6.72,0.41,Not Enrolled,998.99
4.74,156.04,191.98,15.97,0.377,Not Enrolled,1292.3
3.36,47.45,313.85,211.48,0.279,Not Enrolled,141.83
9.06,141.77,240.12,14.85,0.63,Not Enrolled,1566.05
34.24,105.1,668.81,32.66,0.682,Not Enrolled,1858.64
86.12,224.83,744.07,16.34,0.261,Not Enrolled,4583.73
4.08,201.93,189.09,8.3,0.237,Not Enrolled,2312.22
2.36,93.82,400.88,186.24,0.286,Not Enrolled,279.11
5.73,113.11,142.34,12.22,0.128,Not Enrolled,1045.18
6.32,95.91,235.43,14.18,0.217,Enrolled,1409.56
8.61,29.5,435.28,109.04,0.2,Not Enrolled,218.8
0.655,29.33,52.23,122.46,0.145,Enrolled,95.29
7.14,46.92,491.61,112.29,0.0903,Enrolled,357.68
68.69,386.18,410.5,3.72,0.718,Not Enrolled,6340.51
18.4,35.19,642.72,80.37,0.255,Enrolled,477.12
8.65,269.1,205.74,30.85,0.367,Not Enrolled,1175.12
1.61,47.05,304.03,104.39,0.144,Not Enrolled,245.19
3.64,53.65,339.34,123.23,0.448,Enrolled,304.34
5.79,83.52,397.07,76.11,0.574,Enrolled,691.18
2.18,55.98,119.79,43.09,0.303,Enrolled,385.2
3.62,58.93,138.87,19.56,0.431,Enrolled,720.39
1.35,78.29,270.12,204.77,0.314,Not Enrolled,176.28
5.98,69.07,443.29,132.92,0.189,Not Enrolled,346.53
6.0,59.83,631.12,225.94,0.055,Enrolled,246.33
7.09,99.48,211.09,36.97,0.134,Not Enrolled,701.81
6.7,199.74,203.03,12.28,0.313,Not Enrolled,1643.85
2.36,124.28,193.33,173.11,0.657,Enrolled,242.11
17.18,228.26,307.45,6.4,0.569,Not Enrolled,3662.37
12.65,57.72,374.2,72.9,0.202,Enrolled,471.15
6.16,71.78,198.0,36.14,0.151,Not Enrolled,566.47
6.01,71.72,342.95,114.11,0.376,Enrolled,352.77
13.58,91.49,405.0,69.93,0.244,Not Enrolled,615.42
21.37,91.3,237.97,7.13,0.249,Enrolled,1939.61
4.0,54.62,279.28,42.89,0.534,Not Enrolled,568.16
7.09,118.05,221.69,42.91,0.331,Not Enrolled,685.22
1.6,43.8,128.82,22.66,0.173,Enrolled,521.03
1.39,109.5,210.92,61.51,0.178,Enrolled,623.89
1.56,43.5,179.54,96.77,0.137,Not Enrolled,202.41
9.31,68.58,369.34,46.26,0.309,Not Enrolled,647.12
17.52,101.37,555.74,36.05,0.57,Not Enrolled,1352.52
13.13,220.74,485.35,17.3,0.221,Not Enrolled,2754.62
0.588,67.42,197.17,195.13,0.118,Enrolled,176.97
14.3,103.85,877.96,94.74,0.452,Not Enrolled,1035.22
5.34,46.04,106.56,10.05,0.26,Enrolled,721.6
6.64,53.83,63.63,3.61,0.384,Enrolled,1050.63
4.28,34.79,395.93,191.62,0.0462,Enrolled,176.94
15.47,173.67,493.16,54.59,0.264,Not Enrolled,1171.72
16.62,67.46,105.25,1.14,0.298,Not Enrolled,3628.21
5.13,56.57,455.13,175.05,0.161,Enrolled,274.36
5.31,179.55,53.9,3.87,0.473,Enrolled,1948.39
1.09,53.9,160.17,105.95,0.162,Enrolled,241.49
4.26,126.51,728.41,209.71,0.138,Enrolled,497.0
1.13,56.4,317.92,253.76,0.0261,Enrolled,133.67
2.35,35.61,148.79,40.18,0.123,Not Enrolled,279.22
3.3,39.92,107.82,25.53,0.197,Enrolled,393.54
3.6,68.97,1007.93,428.16,0.301,Enrolled,197.71
6.13,153.01,387.61,43.59,0.587,Enrolled,1354.08
10.69,178.79,654.88,117.46,0.582,Enrolled,1013.5
5.22,36.77,331.38,79.76,0.0313,Not Enrolled,288.59
1.84,97.99,273.15,155.44,0.111,Enrolled,271.55
2.74,45.69,212.38,77.6,0.189,Not Enrolled,268.88
11.73,44.77,481.73,139.59,0.145,Enrolled,277.94
3.52,32.41,28.44,2.76,0.116,Not Enrolled,537.6
4.79,189.59,504.74,179.09,0.565,Not Enrolled,491.63
5.31,157.95,90.73,30.63,0.255,Not Enrolled,612.12
3.53,119.19,81.47,3.5,0.258,Not Enrolled,1703.25
3.05,238.75,363.19,40.72,0.533,Not Enrolled,1548.81
0.599,64.68,102.77,102.66,0.0261,Enrolled,191.34
35.09,83.06,804.9,90.45,0.375,Not Enrolled,830.5
7.76,70.81,565.43,108.71,0.192,Not Enrolled,473.6
3.71,61.06,196.24,76.5,0.261,Enrolled,333.22
20.59,53.52,927.36,158.7,0.25,Not Enrolled,415.66
7.81,78.45,998.39,367.61,0.289,Not Enrolled,232.12
2.82,45.54,75.67,12.44,0.0816,Not Enrolled,415.82
13.03,184.83,300.85,14.77,0.512,Not Enrolled,2272.9
106.99,71.23,930.46,15.59,0.612,Enrolled,3544.27
8.48,100.86,226.08,46.69,0.176,Not Enrolled,625.79
2.8,38.14,669.38,207.93,0.135,Enrolled,249.44
8.22,53.46,89.12,13.59,0.0949,Enrolled,630.2
21.46,48.61,696.69,32.37,0.355,Not Enrolled,976.5
0.675,48.49,182.46,184.09,0.278,Enrolled,134.06
15.43,53.38,328.49,42.2,0.117,Enrolled,605.0
13.05,68.99,308.64,22.25,0.349,Not Enrolled,838.01
6.85,75.4,794.69,180.85,0.467,Enrolled,539.25
1.83,121.3,56.13,9.92,0.191,Not Enrolled,919.73
7.09,151.06,407.76,55.23,0.377,Not Enrolled,1107.37
22.74,297.61,840.5,12.17,0.582,Not Enrolled,6823.41
5.99,100.39,130.68,11.42,0.639,Not Enrolled,1171.63
24.06,86.38,674.1,82.52,0.609,Enrolled,871.7
38.36,145.95,648.44,16.08,0.387,Not Enrolled,2940.02
13.73,127.92,517.88,100.31,0.334,Not Enrolled,564.46
19.04,86.82,971.73,238.8,0.515,Enrolled,477.07
1.33,40.14,69.88,88.73,0.067,Not Enrolled,125.14
14.03,34.83,288.01,17.09,0.088,Not Enrolled,633.6
1.34,60.99,219.37,60.71,0.214,Enrolled,473.62
4.87,60.29,189.99,29.91,0.0886,Not Enrolled,541.27
0.548,61.92,145.65,227.4,0.0923,Enrolled,124.01
6.6,216.37,123.3,17.17,0.47,Not Enrolled,1201.21
3.78,83.82,39.63,4.8,0.32,Enrolled,944.77
18.99,86.53,475.22,13.54,0.185,Not Enrolled,1793.07
5.28,78.83,201.43,22.35,0.434,Not Enrolled,785.56
7.07,185.7,345.04,44.31,0.116,Not Enrolled,1188.98
12.2,85.12,353.83,8.7,0.379,Not Enrolled,2037.99
14.04,48.25,802.2,112.86,0.355,Not Enrolled,430.65
11.03,49.2,496.56,82.22,0.608,Not Enrolled,437.67
6.49,44.15,214.66,71.15,0.0989,Enrolled,290.77
4.41,110.59,444.96,58.27,0.277,Not Enrolled,829.79
5.02,100.22,809.75,214.55,0.65,Not Enrolled,461.49
8.16,93.2,62.11,4.15,0.636,Enrolled,1312.41
6.4,103.19,527.34,81.79,0.433,Not Enrolled,783.55
3.74,98.96,338.44,81.28,0.385,Enrolled,585.92
2.73,92.84,172.17,81.23,0.4,Enrolled,450.45
8.59,90.95,497.93,53.56,0.101,Not Enrolled,943.48
2.88,79.19,143.44,37.12,0.0869,Not Enrolled,494.72
22.18,39.63,420.83,47.75,0.183,Not Enrolled,483.03
41.51,36.82,737.98,19.49,0.13,Not Enrolled,1127.36
3.77,36.5,75.68,3.81,0.337,Enrolled,861.16
10.82,54.6,596.31,130.19,0.0739,Not Enrolled,364.3
10.36,98.54,320.18,12.76,0.45,Enrolled,1901.02
1.42,96.35,563.28,262.25,0.0979,Not Enrolled,249.77
10.25,163.59,581.83,26.21,0.183,Not Enrolled,2124.35
2.8,91.32,801.91,289.4,0.0438,Enrolled,313.96
14.25,275.13,326.84,44.36,0.588,Enrolled,1799.89
7.06,223.18,219.16,9.96,0.708,Not Enrolled,2523.84
3.11,88.57,165.28,41.5,0.24,Enrolled,599.97
30.77,392.56,700.71,39.39,0.611,Not Enrolled,3097.18
1.49,106.53,742.74,344.49,0.432,Not Enrolled,227.06
7.5,129.16,581.56,68.18,0.231,Not Enrolled,1027.48
4.46,135.44,788.64,168.25,0.359,Not Enrolled,642.25
1.36,81.3,440.79,164.88,0.165,Not Enrolled,309.25
7.08,77.65,368.31,123.99,0.17,Enrolled,398.03
2.38,104.14,154.27,73.77,0.418,Enrolled,478.1
19.36,61.34,913.5,80.96,0.0991,Not Enrolled,757.02
2.04,110.67,222.83,101.27,0.22,Not Enrolled,345.17
7.72,35.73,492.34,71.73,0.0801,Not Enrolled,394.48
9.07,100.99,419.95,79.14,0.161,Enrolled,663.99
1.83,71.55,37.51,14.29,0.353,Enrolled,492.9
7.3,69.96,36.0,1.47,0.446,Not Enrolled,1650.13
9.59,53.89,518.34,108.19,0.111,Not Enrolled,371.16
2.38,47.87,272.54,112.24,0.213,Enrolled,260.63
13.61,39.14,362.91,54.4,0.368,Enrolled,473.67
11.83,90.77,242.78,36.03,0.192,Enrolled,784.84
11.39,43.03,301.92,17.05,0.0278,Not Enrolled,782.03
7.56,159.97,666.31,63.31,0.309,Not Enrolled,1355.6
4.64,66.93,357.35,98.17,0.129,Enrolled,407.34
0.921,55.13,724.93,385.07,0.252,Not Enrolled,134.55
17.64,53.81,406.4,53.28,0.544,Not Enrolled,568.78
1.47,75.5,99.81,19.56,0.124,Not Enrolled,625.79
13.71,51.78,258.85,5.5,0.117,Not Enrolled,1428.03
2.6,58.79,71.71,21.2,0.294,Not Enrolled,436.15
8.29,136.22,267.74,60.34,0.276,Not Enrolled,603.33
8.92,67.71,214.54,24.16,0.103,Not Enrolled,659.49
16.13,82.93,970.68,219.87,0.384,Not Enrolled,381.73
5.7,78.86,161.31,15.09,0.226,Enrolled,976.88
1.58,24.33,79.08,52.59,0.0355,Enrolled,153.82
3.8,70.22,55.16,3.92,0.178,Not Enrolled,1033.55
5.7,41.46,237.5,47.69,0.12,Enrolled,402.73
2.89,256.06,57.75,7.33,0.273,Not Enrolled,1518.15
13.7,111.49,366.63,10.84,0.42,Not Enrolled,2195.5
3.56,50.43,831.81,331.07,0.372,Not Enrolled,180.16
6.26,98.15,445.05,68.38,0.0818,Not Enrolled,695.48
4.77,65.61,280.8,48.1,0.137,Enrolled,586.32
3.39,68.82,338.06,88.57,0.269,Not Enrolled,419.72
10.88,26.51,966.48,256.94,0.151,Enrolled,184.33
4.8,341.42,384.78,29.38,0.451,Not Enrolled,2506.85
7.84,153.7,246.8,35.69,0.475,Not Enrolled,1026.08
15.37,42.5,314.3,8.59,0.419,Not Enrolled,1060.9
1.75,118.51,136.64,44.93,0.332,Not Enrolled,565.41
8.52,43.6,243.35,27.28,0.379,Enrolled,637.77
3.96,134.55,352.82,145.82,0.286,Enrolled,463.61
6.2,45.26,258.03,58.48,0.115,Not Enrolled,350.65
4.44,213.2,184.15,21.36,0.289,Enrolled,1523.8
2.69,43.81,301.86,125.76,0.194,Not Enrolled,216.34
3.52,36.64,264.62,86.4,0.179,Not Enrolled,236.79
0.484,85.05,70.16,26.94,0.229,Enrolled,559.69
9.15,67.52,428.58,31.83,0.307,Not Enrolled,943.99
28.33,34.89,639.31,35.81,0.323,Not Enrolled,673.78
0.848,25.51,235.87,228.6,0.102,Enrolled,83.76
13.63,95.57,422.03,17.38,0.53,Not Enrolled,1850.97
0.678,32.17,102.33,135.15,0.0936,Enrolled,123.1
3.3,63.32,722.8,144.17,0.0362,Not Enrolled,412.36
35.51,64.99,101.99,1.13,0.775,Not Enrolled,3485.84
1.07,112.97,84.4,35.31,0.239,Not Enrolled,478.11
6.82,70.12,483.82,117.05,0.275,Not Enrolled,413.39
4.72,469.93,121.69,12.2,0.547,Not Enrolled,2136.68
4.32,54.31,237.09,126.69,0.24,Not Enrolled,204.43
4.84,33.65,174.53,31.52,0.502,Enrolled,388.22
13.88,120.29,441.53,44.77,0.0771,Enrolled,1135.91
0.541,30.74,233.02,276.94,0.239,Not Enrolled,75.77
10.7,141.96,159.68,4.19,0.693,Not Enrolled,2352.86
3.1,129.1,104.19,20.38,0.223,Not Enrolled,824.61
11.9,236.23,73.74,2.48,0.536,Not Enrolled,2769.99
3.36,27.28,559.72,252.03,0.245,Enrolled,138.63
3.19,181.1,258.98,117.65,0.202,Enrolled,483.14
4.33,32.03,367.55,102.5,0.275,Enrolled,247.57
18.66,227.69,318.29,10.75,0.457,Not Enrolled,2659.21
2.64,97.54,453.5,219.94,0.272,Enrolled,268.4
3.52,131.94,109.01,26.35,0.127,Enrolled,814.71
11.85,193.31,417.93,35.37,0.419,Not Enrolled,1596.7
1.79,26.78,168.55,132.7,0.0388,Not Enrolled,108.17
11.08,58.06,204.94,7.89,0.196,Not Enrolled,1102.19
15.4,47.83,420.47,26.67,0.225,Not Enrolled,738.88
4.73,23.45,254.5,25.22,0.0269,Enrolled,394.07
1.64,45.48,148.06,38.43,0.039,Not Enrolled,364.49
2.62,53.03,974.05,346.3,0.147,Enrolled,231.74
2.02,62.99,419.69,194.86,0.318,Not Enrolled,211.74
3.87,41.9,369.75,247.82,0.0294,Enrolled,146.05
8.29,74.68,368.27,80.36,0.347,Enrolled,539.59
3.34,108.11,93.76,52.43,0.112,Enrolled,414.41
13.45,93.83,545.62,92.39,0.547,Not Enrolled,651.02
2.05,220.87,106.32,27.28,0.259,Not Enrolled,981.19
5.7,50.69,273.03,126.68,0.314,Enrolled,232.02
4.1,114.47,109.27,35.87,0.375,Not Enrolled,547.42
4.31,51.89,419.17,31.79,0.285,Not Enrolled,896.61
3.56,65.69,444.76,36.63,0.0712,Not Enrolled,873.87
5.92,91.91,560.14,86.94,0.299,Not Enrolled,724.5
8.47,37.24,360.26,37.0,0.184,Not Enrolled,556.46
9.09,126.11,412.81,65.64,0.405,Not Enrolled,823.54
2.01,120.68,335.92,84.96,0.225,Not Enrolled,578.92
6.82,39.09,611.46,56.51,0.218,Not Enrolled,633.89
4.27,65.26,400.37,164.11,0.269,Not Enrolled,239.27
9.21,79.31,231.79,17.35,0.0908,Not Enrolled,896.74
5.75,53.82,227.47,38.36,0.372,Not Enrolled,474.71
3.67,45.04,731.45,201.23,0.117,Not Enrolled,251.85
4.63,46.18,349.38,52.34,0.116,Enrolled,663.42
0.656,37.3,66.95,149.39,0.225,Enrolled,92.08
2.3,64.33,259.49,96.91,0.4,Enrolled,361.79
2.01,34.51,111.28,39.42,0.113,Enrolled,274.74
4.85,66.33,93.19,9.11,0.507,Not Enrolled,704.87
15.02,146.35,168.31,7.48,0.344,Not Enrolled,1751.77
1.83,90.94,365.55,157.13,0.201,Not Enrolled,306.58
0.735,173.94,205.78,101.31,0.164,Enrolled,605.88
6.21,32.0,95.43,10.9,0.333,Not Enrolled,466.3
5.12,220.0,441.32,62.93,0.0596,Not Enrolled,1195.53
6.88,41.23,718.47,197.76,0.293,Not Enrolled,250.66
2.92,68.53,115.69,23.9,0.0831,Enrolled,555.4
3.24,45.48,808.84,360.03,0.0572,Not Enrolled,148.74
6.93,70.94,254.17,14.88,0.432,Enrolled,1240.97
9.3,103.73,554.25,98.85,0.353,Enrolled,708.11
2.88,64.99,389.15,243.28,0.141,Not Enrolled,155.7
29.05,125.72,526.97,30.32,0.524,Not Enrolled,1689.66
1.17,34.1,49.2,16.63,0.337,Not Enrolled,312.11
7.54,269.95,1201.77,214.67,0.506,Not Enrolled,1084.95
20.66,42.49,135.55,4.63,0.575,Enrolled,1201.7
9.34,79.67,480.93,80.29,0.375,Not Enrolled,620.53
5.47,104.67,389.5,43.8,0.246,Not Enrolled,864.22
4.68,105.74,76.35,14.2,0.209,Not Enrolled,725.94
11.84,121.12,296.05,13.67,0.594,Not Enrolled,1851.64
5.99,34.49,264.04,50.68,0.36,Not Enrolled,343.78
46.9,89.72,361.12,23.96,0.551,Enrolled,1440.08
3.16,225.76,455.14,46.15,0.261,Not Enrolled,1573.05
1.42,129.6,57.04,16.85,0.192,Not Enrolled,635.61
2.67,110.73,1087.81,431.64,0.273,Not Enrolled,236.58
5.89,93.23,248.45,54.2,0.189,Enrolled,638.2
8.24,72.76,332.1,115.5,0.563,Enrolled,346.48
3.46,126.61,172.7,65.94,0.374,Enrolled,523.07
23.84,47.96,1302.36,195.23,0.363,Not Enrolled,492.32
9.11,92.74,1000.67,88.25,0.594,Enrolled,1412.81
4.34,60.56,70.82,4.52,0.261,Not Enrolled,915.26
3.47,51.87,551.86,174.97,0.395,Not Enrolled,280.47
4.3,145.9,378.44,130.84,0.263,Enrolled,535.66
1.77,43.5,202.22,150.33,0.433,Not Enrolled,137.43
6.9,121.76,439.36,46.92,0.48,Not Enrolled,1079.84
8.35,157.88,635.45,122.67,0.111,Not Enrolled,782.57
4.55,76.62,534.63,121.85,0.218,Enrolled,518.64
24.99,466.7,475.35,17.68,0.411,Not Enrolled,3797.01
1.56,100.33,79.94,24.45,0.194,Enrolled,602.48
